iter	Passed	Remaining
400	23476	35067
401	23527	34998
402	23591	34948
403	23643	34879
404	23700	34819
405	23759	34760
406	23811	34693
407	23867	34631
408	23928	34577
409	23991	34524
410	24045	34459
411	24089	34380
412	24140	34310
413	24195	34247
414	24240	34170
415	24284	34092
416	24330	34015
417	24372	33935
418	24418	33859
419	24462	33782
420	24506	33704
421	24571	33654
422	24614	33575
423	24661	33502
424	24707	33427
425	24753	33353
426	24797	33275
427	24845	33205
428	24923	33172
429	24971	33101
430	25017	33027
431	25061	32951
432	25110	32880
433	25158	32810
434	25204	32736
435	25250	32663
436	25301	32596
437	25364	32545
438	25416	32479
439	25464	32409
440	25523	32352
441	25590	32306
442	25654	32256
443	25736	32228
444	25819	32201
445	25870	32135
446	25922	32069
447	25972	32001
448	26024	31936
449	26081	31877
450	26151	31833
451	26241	31814
452	26300	31757
453	26352	31692
454	26406	31629
455	26458	31564
456	26507	31495
457	26555	31425
458	26604	31357
459	26654	31289
460	26706	31225
461	26758	31160
462	26805	31089
463	26850	31016
464	26894	30942
465	26948	30881
466	27025	30845
467	27110	30818
468	27172	30764
469	27231	30707
470	27279	30638
471	27327	30570
472	27374	30499
473	27417	30425
474	27464	30355
475	27507	30281
476	27553	30211
477	27598	30138
478	27642	30066
479	27690	29998
480	27733	29924
481	27782	29857
482	27837	29797
483	27897	29741
484	27971	29701
485	28038	29654
486	28114	29615
487	28184	29570
488	28240	29511
489	28304	29459
490	28357	29396
491	28409	29333
492	28466	29275
493	28536	29229
494	28596	29174
495	28663	29125
496	28735	29081
497	28791	29023
498	28851	28967
499	28904	28904
500	28959	28844
501	29011	28780
502	29071	28724
503	29122	28660
504	29182	28604
505	29240	28546
506	29294	28485
507	29344	28420
508	29396	28356
509	29452	28297
510	29507	28236
511	29568	28182
512	29616	28115
513	29679	28062
514	29726	27994
515	29772	27925
516	29819	27858
517	29868	27792
518	29914	27724
519	29960	27655
520	30007	27588
521	30072	27537
522	30132	27481
523	30190	27425
524	30296	27410
525	30362	27361
526	30407	27291
527	30463	27232
528	30524	27177
529	30573	27112
530	30619	27044
531	30675	26985
532	30720	26916
533	30769	26851
534	30817	26785
535	30864	26718
536	30910	26651
537	30959	26586
538	31014	26526
539	31070	26467
540	31126	26408
541	31183	26350
542	31236	26289
543	31306	26242
544	31368	26188
545	31427	26131
546	31472	26064
547	31518	25996
548	31564	25929
549	31626	25876
550	31676	25812
551	31726	25749
552	31779	25688
553	31829	25624
554	31871	25554
555	31914	25485
556	31962	25421
557	32009	25355
558	32054	25288
559	32104	25224
560	32150	25159
561	32199	25095
562	32251	25033
563	32299	24969
564	32369	24921
565	32421	24860
566	32475	24800
567	32541	24750
568	32595	24690
569	32653	24633
570	32717	24581
571	32766	24517
572	32813	24452
573	32858	24386
574	32906	24322
575	32957	24260
576	33002	24194
577	33046	24127
578	33093	24062
579	33143	24000
580	33191	23936
581	33241	23874
582	33286	23808
583	33329	23741
584	33375	23676
585	33423	23613
586	33477	23554
587	33536	23498
588	33591	23440
589	33650	23384
590	33707	23327
591	33775	23277
592	33834	23221
593	33891	23164
594	33939	23101
595	33986	23037
596	34043	22981
597	34093	22919
598	34144	22858
599	34204	22803
600	34256	22742
601	34305	22680
602	34355	22618
603	34418	22565
604	34469	22505
605	34523	22445
606	34571	22383
607	34632	22328
608	34687	22270
609	34745	22214
610	34796	22153
611	34846	22091
612	34904	22036
613	34961	21979
614	35021	21924
615	35093	21876
616	35169	21831
617	35221	21771
618	35271	21709
619	35324	21650
620	35376	21590
621	35425	21528
622	35482	21471
623	35534	21411
624	35584	21350
625	35632	21288
626	35683	21227
627	35733	21167
628	35784	21106
629	35838	21047
630	35890	20988
631	35950	20932
632	36010	20878
633	36065	20819
634	36125	20764
635	36179	20706
636	36238	20650
637	36296	20594
638	36353	20537
639	36399	20474
640	36458	20419
641	36507	20357
642	36555	20295
643	36602	20233
644	36656	20175
645	36717	20120
646	36765	20059
647	36814	19997
648	36868	19939
649	36914	19877
650	36964	19816
651	37019	19758
652	37070	19699
653	37121	19639
654	37169	19577
655	37219	19517
656	37273	19459
657	37321	19398
658	37369	19336
659	37423	19278
660	37474	19218
661	37526	19159
662	37576	19099
663	37624	19038
664	37675	18979
665	37746	18930
666	37830	18887
667	37887	18830
668	37953	18778
669	38006	18719
670	38056	18659
671	38104	18598
672	38154	18538
673	38202	18477
674	38257	18420
675	38303	18358
676	38353	18298
677	38407	18240
678	38473	18188
679	38536	18134
680	38599	18081
681	38654	18023
682	38728	17974
683	38786	17918
684	38876	17877
685	38932	17820
686	38981	17760
687	39035	17702
688	39091	17645
689	39147	17587
690	39211	17534
691	39268	17478
692	39318	17418
693	39368	17358
694	39418	17298
695	39465	17237
696	39517	17178
697	39564	17118
698	39619	17060
699	39668	17000
700	39731	16946
701	39794	16892
702	39841	16832
703	39891	16772
704	39939	16712
705	39993	16654
706	40048	16596
707	40096	16536
708	40143	16476
709	40199	16419
710	40256	16363
711	40307	16304
712	40355	16244
713	40406	16185
714	40464	16129
715	40585	16097
716	40637	16039
717	40689	15981
718	40743	15923
719	40810	15870
720	40861	15811
721	40919	15755
722	40981	15701
723	41037	15644
724	41095	15587
725	41154	15532
726	41214	15476
727	41270	15419
728	41322	15361
729	41373	15302
730	41423	15243
731	41467	15182
732	41511	15120
733	41558	15060
734	41605	15000
735	41655	14941
736	41716	14886
737	41777	14831
738	41821	14770
739	41872	14712
740	41920	14652
741	41971	14593
742	42020	14534
743	42073	14476
744	42122	14417
745	42169	14357
746	42223	14300
747	42302	14251
748	42350	14192
749	42398	14132
750	42445	14073
751	42493	14013
752	42540	13954
753	42597	13897
754	42644	13838
755	42693	13779
756	42737	13719
757	42784	13659
758	42833	13600
759	42880	13541
760	42925	13481
761	42972	13421
762	43019	13362
763	43066	13303
764	43115	13244
765	43161	13185
766	43209	13126
767	43261	13068
768	43310	13010
769	43365	12953
770	43421	12896
771	43476	12840
772	43532	12783
773	43590	12727
774	43645	12671
775	43698	12614
776	43755	12557
777	43808	12500
778	43853	12441
779	43896	12380
780	43942	12321
781	43989	12263
782	44036	12204
783	44087	12146
784	44133	12087
785	44180	12028
786	44228	11970
787	44280	11913
788	44329	11854
789	44378	11796
790	44441	11742
791	44487	11683
792	44535	11625
793	44580	11566
794	44637	11510
795	44683	11451
796	44741	11396
797	44791	11338
798	44841	11280
799	44889	11222
800	44940	11164
801	44986	11106
802	45035	11048
803	45083	10990
804	45131	10932
805	45184	10875
806	45235	10818
807	45283	10760
808	45334	10703
809	45382	10645
810	45430	10587
811	45480	10529
812	45530	10472
813	45577	10414
814	45622	10356
815	45670	10298
816	45716	10240
817	45765	10182
818	45819	10126
819	45874	10070
820	45934	10014
821	45989	9958
822	46044	9902
823	46098	9846
824	46152	9789
825	46210	9734
826	46260	9677
827	46307	9619
828	46351	9561
829	46394	9502
830	46444	9445
831	46493	9388
832	46553	9333
833	46603	9275
834	46659	9220
835	46703	9161
836	46769	9107
837	46820	9051
838	46869	8993
839	46916	8936
840	46966	8879
841	47041	8827
842	47091	8770
843	47139	8713
844	47184	8655
845	47230	8597
846	47287	8541
847	47343	8486
848	47399	8430
849	47448	8373
850	47496	8316
851	47544	8258
852	47594	8202
853	47647	8145
854	47702	8089
855	47755	8033
856	47835	7981
857	47881	7924
858	47948	7870
859	48001	7814
860	48048	7756
861	48096	7699
862	48149	7643
863	48203	7587
864	48262	7532
865	48324	7477
866	48379	7421
867	48432	7365
868	48491	7310
869	48547	7254
870	48599	7197
871	48659	7142
872	48726	7088
873	48789	7033
874	48845	6977
875	48896	6921
876	48956	6866
877	49006	6809
878	49050	6752
879	49100	6695
880	49148	6638
881	49197	6582
882	49244	6525
883	49294	6468
884	49338	6411
885	49387	6354
886	49433	6297
887	49485	6241
888	49539	6185
889	49590	6129
890	49640	6072
891	49686	6015
892	49734	5959
893	49779	5902
894	49842	5847
895	49889	5790
896	49935	5733
897	49977	5676
898	50021	5619
899	50065	5562
900	50107	5505
901	50150	5448
902	50205	5393
903	50265	5337
904	50320	5282
905	50378	5226
906	50425	5170
907	50471	5113
908	50516	5057
909	50560	5000
910	50607	4944
911	50651	4887
912	50695	4830
913	50760	4776
914	50827	4721
915	50887	4666
916	51000	4616
917	51080	4562
918	51197	4512
919	51301	4461
920	51373	4406
921	51428	4350
922	51489	4295
923	51549	4240
924	51623	4185
925	51682	4130
926	51730	4073
927	51779	4017
928	51826	3960
929	51872	3904
930	51918	3847
931	51968	3791
932	52034	3736
933	52106	3682
934	52189	3628
935	52264	3573
936	52330	3518
937	52386	3462
938	52435	3406
939	52484	3350
940	52546	3294
941	52633	3240
942	52714	3186
943	52823	3133
944	52898	3078
945	52969	3023
946	53054	2969
947	53125	2914
948	53200	2859
949	53274	2803
950	53355	2749
951	53423	2693
952	53483	2637
953	53561	2582
954	53650	2528
955	53740	2473
956	53831	2418
957	53903	2363
958	53982	2307
959	54041	2251
960	54116	2196
961	54181	2140
962	54242	2084
963	54319	2028
964	54381	1972
965	54435	1915
966	54546	1861
967	54609	1805
968	54670	1749
969	54737	1692
970	54806	1636
971	54869	1580
972	54937	1524
973	55003	1468
974	55080	1412
975	55156	1356
976	55217	1299
977	55280	1243
978	55342	1187
979	55413	1130
980	55465	1074
981	55526	1017
982	55597	961
983	55663	905
984	55737	848
985	55797	792
986	55861	735
987	55957	679
988	56052	623
989	56127	566
990	56221	510
991	56331	454
992	56394	397
993	56456	340
994	56521	284
995	56583	227
996	56653	170
997	56728	113
998	56797	56
999	56884	0
